fips_txt,Stabr,area_name,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,population2019
48257,TX,"Kaufman County, TX",75009,20.7,32.59894,-96.288378,136154
48259,TX,"Kendall County, TX",94899,40.9,29.94452,-98.711094,47431
48261,TX,"Kenedy County, TX",46132,6.8,26.89023,-97.591233,404
48263,TX,"Kent County, TX",52591,23.6,33.18478,-100.76972,762
48265,TX,"Kerr County, TX",57789,25.6,30.05393,-99.351968,52600
48267,TX,"Kimble County, TX",44757,22.1,30.47947,-99.746396,4337
48269,TX,"King County, TX",71256,18.2,33.61416,-100.250548,272
48271,TX,"Kinney County, TX",47076,9.6,29.34709,-100.4177,3667
48273,TX,"Kleberg County, TX",47169,24.8,27.43874,-97.66062,30680
48275,TX,"Knox County, TX",40808,19.6,33.61666,-99.747112,3664
48277,TX,"Lamar County, TX",47061,17.6,33.66726,-95.570348,49859
48279,TX,"Lamb County, TX",42719,15.9,34.06886,-102.348018,12893
48281,TX,"Lampasas County, TX",58817,20,31.19673,-98.240889,21428
48283,TX,"La Salle County, TX",41683,13.1,28.3511,-99.096774,7520
48285,TX,"Lavaca County, TX",52632,16.7,29.38258,-96.923633,20154
48287,TX,"Lee County, TX",59250,15.9,30.32111,-96.976365,17239
48289,TX,"Leon County, TX",50522,16.4,31.30049,-95.995622,17404
48291,TX,"Liberty County, TX",53274,9.5,30.16219,-94.822682,88219
48293,TX,"Limestone County, TX",43644,14,31.54754,-96.593623,23437
48295,TX,"Lipscomb County, TX",65388,19.5,36.2802,-100.272683,3233
48297,TX,"Live Oak County, TX",54163,13.2,28.35154,-98.126961,12207
48299,TX,"Llano County, TX",55617,25.7,30.70759,-98.68469,21795
48301,TX,"Loving County, TX",88487,0,31.84494,-103.561229,169
48303,TX,"Lubbock County, TX",54733,29.1,33.61147,-101.819944,310569
48305,TX,"Lynn County, TX",45737,18.2,33.17841,-101.818493,5951
48307,TX,"McCulloch County, TX",43262,19,31.20548,-99.359856,7984
48309,TX,"McLennan County, TX",51078,23.7,31.54949,-97.201472,256623
48311,TX,"McMullen County, TX",68349,23.3,28.38492,-98.578853,743
48313,TX,"Madison County, TX",46274,13.6,30.96688,-95.930372,14284
48315,TX,"Marion County, TX",37876,14.9,32.79776,-94.357673,9854
48317,TX,"Martin County, TX",68745,20.4,32.30983,-101.961836,5771
48319,TX,"Mason County, TX",54914,20,30.70323,-99.237608,4274
48321,TX,"Matagorda County, TX",49276,16.7,28.78334,-95.997755,36643
48323,TX,"Maverick County, TX",40017,12.5,28.74522,-100.311368,58722
48325,TX,"Medina County, TX",60695,19.8,29.35366,-99.111085,51584
48327,TX,"Menard County, TX",38425,17.8,30.88371,-99.854936,2138
48329,TX,"Midland County, TX",85811,27.4,31.8709,-102.024326,176832
48331,TX,"Milam County, TX",48989,13.8,30.79124,-96.984395,24823
48333,TX,"Mills County, TX",46876,18.2,31.49489,-98.594623,4873
48335,TX,"Mitchell County, TX",44457,11.8,32.30378,-100.92458,8545
48337,TX,"Montague County, TX",53649,15.5,33.67629,-97.724747,19818
48339,TX,"Montgomery County, TX",88833,34.7,30.30236,-95.503523,607391
48341,TX,"Moore County, TX",55099,14.3,35.83568,-101.890502,20940
48343,TX,"Morris County, TX",43304,15.5,33.11647,-94.731265,12388
48345,TX,"Motley County, TX",40217,16.7,34.05838,-100.793696,1200
48347,TX,"Nacogdoches County, TX",46207,24.5,31.62056,-94.62025,65204
48349,TX,"Navarro County, TX",48649,16.1,32.04845,-96.476908,50113
48351,TX,"Newton County, TX",45890,8.9,30.78672,-93.73925,13595
48353,TX,"Nolan County, TX",46389,15.5,32.31234,-100.418108,14714
