countyid,countbrewpub,countcontract,countmicro,countregional,counttotal,countlargest,countbest
36075,1,,,,1,0,0
36077,1,,1,1,4,0,0
36079,1,,,,2,0,0
36081,2,,9,,16,0,0
36083,2,,3,,5,0,0
36085,,,3,,3,0,0
36087,2,,1,,3,0,0
36089,,,2,,2,0,0
36091,2,,4,,8,0,0
36093,1,,2,,4,0,0
36095,,,3,,3,0,0
36097,5,,2,,8,0,0
36099,2,,3,,5,0,0
36101,3,,5,,8,0,0
36103,5,1,15,,27,0,0
36105,,,2,,3,0,0
36107,,,1,,1,0,0
36109,2,,3,1,6,0,0
36111,4,1,7,,15,0,0
36113,2,,4,,7,0,0
36115,1,,2,,3,0,0
36119,3,,6,1,12,0,0
36121,1,,2,,3,0,0
36123,,1,3,,4,0,0
37001,,1,1,,3,0,0
37009,1,,,,1,0,0
37011,,,2,,2,0,0
37019,,,2,,2,0,0
37021,11,,17,1,33,0,0
37023,,,1,1,3,0,0
37025,,,4,,4,0,0
37027,2,,,,2,0,0
37031,1,,3,,4,0,0
37035,,,2,,2,0,0
37037,,,2,,3,0,0
37039,2,,1,,3,0,0
37045,,,1,,1,0,0
37049,1,,1,,2,0,0
37051,3,,1,,5,0,0
37053,,,1,,1,0,0
37055,2,,,,2,0,0
37057,,,,,2,0,0
37063,2,,4,,8,0,0
37065,,,1,,1,0,0
37067,4,,4,1,10,0,0
37069,,,1,,1,0,0
37071,1,,3,,5,0,0
37077,,,,,1,0,0
37081,4,,6,2,15,0,0
37085,,,1,,2,0,0
37087,1,,2,,4,0,0
37089,1,,3,1,6,0,0
37091,1,,,,1,0,0
37095,1,,,,1,0,0
37097,1,,2,,3,0,0
37099,1,,1,,2,0,0
37101,1,,1,,2,0,0
37103,,,1,,1,0,0
37105,,,1,,1,0,0
37107,,,,1,1,0,0
37109,,1,,,1,0,0
37111,,,1,,1,0,0
37113,,,3,,3,0,0
37115,1,,,,1,0,0
37119,7,1,20,2,35,0,0
37121,1,,,,1,0,0
37125,,,,,2,0,0
37127,,,2,,2,0,0
37129,4,,9,,14,0,0
37135,5,,3,,8,0,0
37137,,,1,,1,0,0
37139,,,1,,1,0,0
37141,,,1,,1,0,0
37145,,,1,,1,0,0
37147,,,3,,3,0,0
37151,,,1,,2,0,0
37157,,,,,1,0,0
37159,1,,1,,2,0,0
37161,,,1,,1,0,0
37171,,,3,,3,0,0
37173,,,2,,2,0,0
37175,,,4,1,5,0,0
37179,1,,2,,3,0,0
37183,4,,27,2,36,0,0
37189,1,,2,,4,0,0
37195,,,1,,1,0,0
38015,1,,1,,2,0,0
