fips_txt,breweriesTOTALper10000,brewery_per_1Mpeople,median_HHI_2019,bach_deg_pct_14to18,population2019,perc_hispanic,perc_age_25_39,pop_density_per_mile,change_in_pop_decade,perc_female,
41023,1.389081817,138.9081817,49792,18.8,7199,0.0393,0.1465,1.589695224,-0.0342,0.497,
41063,1.387347392,138.7347392,52106,24.7,7208,0.0357,0.1566,2.291025746,0.0277,0.508,
6051,1.384657989,138.4657989,66226,30.6,14444,0.2683,0.2233,4.737318882,0.0168,0.47,
51630,1.37760022,137.760022,62121,42.1,29036,0.1092,0.2171,2781.226054,0.1636,0.538,
51610,1.368269823,136.8269823,137849,78.5,14617,0.1063,0.1906,7312.156078,0.1563,0.508,
19195,1.354829969,135.4829969,60139,15.5,7381,0.0337,0.1763,18.4468276,-0.0294,0.493,
41025,1.352630867,135.2630867,39874,17,7393,0.0513,0.1718,0.729584128,-0.0039,0.491,
30105,1.352082207,135.2082207,51869,20.9,7396,0.0283,0.1608,1.501476201,0.0037,0.496,
51830,1.3374348,133.74348,56569,56.7,14954,0.0715,0.1563,1657.503879,0.0592,0.54,
30031,1.310799238,131.0799238,73731,49,114434,0.0398,0.2395,43.96760427,0.2178,0.481,
48175,1.305823975,130.5823975,56758,17.6,7658,0.3583,0.1581,8.988115219,0.0585,0.508,
19135,1.297521733,129.7521733,56397,16.6,7707,0.0269,0.1622,17.76973358,-0.0341,0.503,
23009,1.27302817,127.302817,58926,32.3,54987,0.0157,0.1649,34.65072944,0.0103,0.515,
51540,1.269411416,126.9411416,58717,52.6,47266,0.0581,0.27,4616.722016,0.0802,0.516,
41017,1.264593408,126.4593408,71880,34.2,197692,0.0826,0.2019,65.50027069,0.2021,0.505,
37021,1.263443227,126.3443227,55448,39.2,261191,0.0684,0.2091,397.7495614,0.0876,0.521,
16059,1.24579544,124.579544,46062,21.1,8027,0.0354,0.1481,1.759000497,0.0113,0.495,
41001,1.240387001,124.0387001,48530,22.3,16124,0.0472,0.1665,5.254929593,-0.0006,0.49,
26153,1.235483074,123.5483074,50256,15.8,8094,0.0132,0.1275,6.909928476,-0.0483,0.508,
8065,1.230466347,123.0466347,56850,34,8127,0.3544,0.2457,21.56211944,0.1005,0.461,
33003,1.226742997,122.6742997,64495,33.6,48910,0.0164,0.1386,52.53146679,0.0223,0.506,
8013,1.226256606,122.6256606,88341,60.8,326196,0.1397,0.205,449.1270004,0.097,0.496,
20031,1.222643355,122.2643355,62715,22.9,8179,0.0279,0.1654,13.04575985,-0.0516,0.506,
30041,1.213297743,121.3297743,51881,24.5,16484,0.0402,0.198,5.686186919,0.0235,0.494,
