median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList,BestList
61173,28.3,318.0192972,13.69%,52.00%,12.70%,18.75902778,3.8,13.74%,FALSE,FALSE
57660,22.7,391.2248863,19.09%,51.60%,16.70%,10.89567932,3.2,16.61%,FALSE,FALSE
62364,27.8,982.2361134,19.70%,51.00%,22.50%,10.38183076,3.1,16.21%,FALSE,FALSE
55081,45.7,440.2506103,6.16%,52.70%,6.70%,17.03101689,3.1,20.42%,FALSE,FALSE
64151,29.3,542.7866114,19.94%,51.70%,16.90%,14.87899656,3.1,15.73%,FALSE,FALSE
54991,28.8,1431.689462,8.12%,51.40%,69.40%,6.625100297,2.4,20.90%,FALSE,FALSE
67528,33.3,75.49004253,1.53%,48.20%,25.30%,67.36002587,2.1,18.39%,FALSE,FALSE
72818,28.2,136.6322407,17.28%,50.90%,4.70%,45.13399154,2.9,17.24%,FALSE,FALSE
63520,30.6,226.539833,14.20%,49.30%,9.70%,18.98091469,2.7,22.77%,FALSE,FALSE
63133,33.8,1542.403443,17.76%,50.90%,32.70%,13.63520236,2.9,24.28%,FALSE,FALSE
66621,35.7,759.8731421,11.80%,51.50%,23.40%,10.0215798,3.3,17.70%,FALSE,FALSE
55745,23.4,741.6754364,16.11%,51.40%,16.50%,10.83136112,3.5,17.41%,FALSE,FALSE
56708,31,3560.991822,6.00%,52.00%,10.20%,37.94887364,3,17.87%,FALSE,FALSE
51817,20,403.1383268,16.93%,51.00%,24.60%,5.518938929,3.7,19.42%,FALSE,FALSE
90839,43.7,440.6389691,28.20%,51.30%,7.50%,18.89130698,2.6,16.00%,FALSE,FALSE
57292,20.3,574.0200655,15.38%,51.20%,19.90%,9.138067055,3.9,17.01%,FALSE,FALSE
66258,34.7,780.2967611,12.52%,52.40%,9.60%,13.83310816,3.1,12.59%,FALSE,FALSE
69954,38.2,1525.853677,10.41%,51.60%,22.50%,14.83597767,2.9,21.90%,FALSE,FALSE
53554,23.6,502.514005,10.61%,51.20%,15.00%,9.036950282,3.4,17.16%,FALSE,FALSE
57122,33.2,678.7169031,8.40%,52.00%,6.70%,20.73040113,3.3,23.01%,FALSE,FALSE
41036,42.7,1076.602349,9.05%,52.60%,11.00%,31.16939789,3.6,22.65%,FALSE,FALSE
79622,46.5,2238.678365,9.48%,51.50%,13.30%,13.15545405,3,21.95%,FALSE,FALSE
63606,43.4,2837.623607,8.88%,52.80%,8.50%,9.219053941,3.4,24.40%,FALSE,FALSE
