LargestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1Mpeople
FALSE,36894,36894,267.5964209,-0.0751,0.54,0.031,4.7,0.1933,54.20935653
FALSE,47980,47980,67.71772044,0.0957,0.515,0.026,3.3,0.133,62.52605252
FALSE,94563,94563,588.7610501,0.0686,0.516,0.075,3,0.1451,21.14992122
FALSE,50520,50520,193.1670429,0.0221,0.516,0.116,3.8,0.1927,19.79414093
FALSE,113332,113332,1090.308498,0.2814,0.504,0.097,2.7,0.1726,8.823633219
TRUE,79235,79235,2020.255015,0.1347,0.516,0.072,3.5,0.2469,315.5171326
FALSE,58017,58017,203.1956889,0.0664,0.53,0.068,3.3,0.1767,17.23632728
FALSE,60973,60973,47.2956754,0.1272,0.511,0.064,3.9,0.1446,16.40070195
FALSE,72225,72225,2175.387968,0.1398,0.512,0.217,3,0.2036,83.07372793
FALSE,66698,66698,520.4948292,0.1211,0.503,0.291,2.8,0.1919,14.99295331
FALSE,72927,72927,728.1631158,0.1306,0.524,0.072,3.5,0.1899,13.71234248
FALSE,66645,66645,214.8511907,0.1712,0.506,0.084,2.7,0.2019,15.00487658
FALSE,46450,46450,236.6741522,0.0696,0.517,0.06,3.5,0.2132,21.5285253
FALSE,57078,57078,118.7913746,0.1084,0.504,0.051,3.1,0.1623,17.51988507
FALSE,47035,47035,904.7253738,0.0301,0.514,0.077,4.5,0.2314,21.26076326
FALSE,44810,44810,624.4272738,0.0097,0.515,0.051,4.5,0.2299,44.63289444
FALSE,47296,47296,168.8986154,0.0412,0.522,0.037,3.2,0.1996,42.28687415
FALSE,54786,54786,127.9592498,0.1186,0.513,0.034,2.6,0.1548,18.25283832
FALSE,53115,53115,360.2098711,0.0194,0.502,0.363,4.4,0.1973,18.82707333
FALSE,64929,64929,50.02287499,0.0816,0.506,0.129,3.4,0.1797,30.80287699
FALSE,86946,86946,1622.262765,0.0219,0.498,0.1,2.6,0.2201,138.0167
FALSE,73029,73029,116.6098884,0.072,0.506,0.114,2.7,0.1888,27.38638075
FALSE,77375,77375,144.1360079,0.0752,0.504,0.116,2.6,0.1941,38.77221325
FALSE,72295,72295,457.5318077,0.1853,0.499,0.085,2.5,0.2173,248.9798741
FALSE,53306,53306,78.96488092,0.0566,0.503,0.089,2.8,0.2162,37.5192286
FALSE,75778,75778,8.708247055,0.0715,0.498,0.235,2.6,0.1668,52.78576896
FALSE,56729,56729,26.36902569,0.1063,0.501,0.034,4.2,0.151,35.25533678
FALSE,65165,65165,63.80336931,0.1245,0.501,0.134,2.4,0.2102,30.69132203
FALSE,50709,50709,9.652677051,0.104,0.498,0.051,4.4,0.1462,19.72036522
FALSE,58670,58670,391.3189301,0.1781,0.504,0.256,3.2,0.2033,34.08897222
FALSE,48866,48866,1.966062044,0.024,0.476,0.036,4.5,0.14,40.92825277
FALSE,62764,62764,133.1835627,0.1642,0.505,0.049,3.6,0.1924,95.59620164
FALSE,54999,54999,37.27523151,0.0714,0.492,0.045,2.7,0.2011,54.5464463
FALSE,46062,46062,1.759000497,0.0113,0.495,0.035,4.8,0.1481,21.70986931
FALSE,39239,39239,4.898722841,0.0091,0.497,0.036,5.9,0.1612,50.96969851
FALSE,73637,73637,27.01488021,0.1624,0.475,0.167,2.2,0.209,27.16025911
FALSE,56141,56141,45.22038941,0.1111,0.507,0.171,2.8,0.2086,35.62458809
FALSE,64041,64041,3.108733352,0.1343,0.481,0.047,3.9,0.1601,46.84498993
FALSE,55942,55942,76.51408673,-0.0255,0.507,0.018,3.4,0.1814,17.87565693
FALSE,53485,53485,210.4749133,0.0411,0.503,0.063,3.8,0.2013,93.48415444
FALSE,51573,51573,45.53855002,-0.0773,0.491,0.017,4.8,0.1837,19.38999089
FALSE,67201,67201,79.23051773,-0.0053,0.482,0.032,3.1,0.2001,14.88073094
TRUE,69375,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,1225.225225
FALSE,64676,64676,166.1584617,-0.0025,0.504,0.117,4.1,0.1935,30.92337188
FALSE,96354,96354,2818.087994,0.0065,0.508,0.146,2.9,0.1935,217.9463229
FALSE,51333,51333,27.52922002,-0.0825,0.51,0.013,4.2,0.167,19.48064598
FALSE,58943,58943,71.03098102,-0.0069,0.501,0.023,3.3,0.1922,16.96554298
FALSE,43695,43695,94.08176791,-0.0284,0.508,0.017,5.4,0.1711,22.88591372
FALSE,61680,61680,59.43364703,-0.0322,0.501,0.06,4.8,0.1691,32.42542153
FALSE,37308,37308,97.16118141,-0.0611,0.504,0.047,3.8,0.1859,53.6078053
FALSE,63351,63351,58.96211725,-0.0557,0.513,0.014,4.4,0.1655,15.78507048
FALSE,62522,62522,35.32766471,-0.068,0.499,0.032,4.1,0.1374,15.99436998
FALSE,84311,84311,1023.737737,0.0322,0.502,0.324,4.4,0.1861,106.7476367
FALSE,60763,60763,162.3841929,-0.0327,0.507,0.108,5,0.1827,32.91476721
FALSE,105586,105586,402.6722025,0.1105,0.505,0.2,3.3,0.2058,9.470952588
FALSE,43404,43404,69.37373935,-0.0648,0.495,0.06,5,0.1744,46.07870242
FALSE,92638,92638,1569.939369,-0.0099,0.5,0.224,4.1,0.1745,183.5100067
FALSE,59528,59528,95.73315338,-0.0484,0.495,0.103,5.3,0.1832,33.59763473
FALSE,89379,89379,510.2599429,-0.0032,0.502,0.139,3.3,0.1784,67.12986272
FALSE,69230,69230,144.9384727,0.0113,0.515,0.052,3.8,0.1906,57.77841976
FALSE,52259,52259,179.1130881,-0.065,0.521,0.024,5.3,0.1772,38.27091984
