median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList
61133,32.7,1442.803177,0.16,0.51,0.30,11.54916411,3.1,0.23,FALSE
61173,28.3,318.0192972,0.14,0.52,0.13,18.75902778,3.8,0.14,FALSE
57660,22.7,391.2248863,0.19,0.52,0.17,10.89567932,3.2,0.17,FALSE
62364,27.8,982.2361134,0.20,0.51,0.23,10.38183076,3.1,0.16,FALSE
55081,45.7,440.2506103,0.06,0.53,0.07,17.03101689,3.1,0.2,FALSE
64151,29.3,542.7866114,0.20,0.52,0.17,14.87899656,3.1,0.16,FALSE
54991,28.8,1431.689462,0.08,0.51,0.69,6.625100297,2.4,0.21,FALSE
67528,33.3,75.49004253,0.02,0.48,0.25,67.36002587,2.1,0.18,FALSE
72818,28.2,136.6322407,0.17,0.51,0.05,45.13399154,2.9,0.17,FALSE
63520,30.6,226.539833,0.14,0.49,0.10,18.98091469,2.7,0.23,FALSE
63133,33.8,1542.403443,0.18,0.51,0.33,13.63520236,2.9,0.24,FALSE
66621,35.7,759.8731421,0.12,0.52,0.23,10.0215798,3.3,0.18,FALSE
55745,23.4,741.6754364,0.16,0.51,0.17,10.83136112,3.5,0.17,FALSE
56708,31,3560.991822,0.06,0.52,0.10,37.94887364,3,0.18,FALSE
51817,20,403.1383268,0.17,0.51,0.25,5.518938929,3.7,0.19,FALSE
90839,43.7,440.6389691,0.28,0.51,0.08,18.89130698,2.6,0.16,FALSE
57292,20.3,574.0200655,0.15,0.51,0.20,9.138067055,3.9,0.17,FALSE
66258,34.7,780.2967611,0.13,0.52,0.10,13.83310816,3.1,0.13,FALSE
69954,38.2,1525.853677,0.10,0.52,0.23,14.83597767,2.9,0.22,FALSE
53554,23.6,502.514005,0.11,0.51,0.15,9.036950282,3.4,0.17,FALSE
57122,33.2,678.7169031,0.08,0.52,0.07,20.73040113,3.3,0.23,FALSE
41036,42.7,1076.602349,0.09,0.53,0.11,31.16939789,3.6,0.23,FALSE
79622,46.5,2238.678365,0.09,0.52,0.13,13.15545405,3,0.22,FALSE
63606,43.4,2837.623607,0.09,0.53,0.09,9.219053941,3.4,0.24,FALSE
47980,21.3,67.71772044,0.10,0.52,0.03,114.5562853,3.3,0.13,FALSE
79235,51.4,2020.255015,0.13,0.52,0.07,23.49763191,3.5,0.25,FALSE
72225,36.1,2175.387968,0.14,0.51,0.22,6.408544726,3,0.2,FALSE
86946,34.3,1622.262765,0.02,0.50,0.10,12.31321115,2.6,0.22,FALSE
77375,26.6,144.1360079,0.08,0.50,0.12,17.91932719,2.6,0.19,FALSE
72295,37.8,457.5318077,0.19,0.50,0.09,37.3764242,2.5,0.22,FALSE
75778,38.2,8.708247055,0.07,0.50,0.24,173.7543982,2.6,0.17,FALSE
62764,24.9,133.1835627,0.16,0.51,0.05,36.2106737,3.6,0.19,FALSE
54999,45.1,37.27523151,0.07,0.49,0.05,74.79804528,2.7,0.2,FALSE
64041,30.1,3.108733352,0.13,0.48,0.05,263.3426966,3.9,0.16,FALSE
53485,44.4,210.4749133,0.04,0.50,0.06,23.84483688,3.8,0.2,FALSE
69375,38,5448.102559,-0.01,0.51,0.26,16.50410768,3.8,0.24,FALSE
96354,48.8,2818.087994,0.01,0.51,0.15,22.7538435,2.9,0.19,FALSE
84311,33.1,1023.737737,0.03,0.50,0.32,16.90448777,4.4,0.19,FALSE
92638,45,1569.939369,-0.01,0.50,0.22,24.40652659,4.1,0.17,FALSE
89379,33.7,510.2599429,0.00,0.50,0.14,19.49482412,3.3,0.18,FALSE
69230,44.8,144.9384727,0.01,0.52,0.05,23.32130343,3.8,0.19,FALSE
66591,25.8,367.4854873,-0.02,0.51,0.03,11.40831895,3.9,0.2,FALSE
57717,30.4,289.3675641,-0.04,0.52,0.05,16.7430335,5.1,0.2,FALSE
57772,23.2,331.7751546,-0.04,0.51,0.13,35.24129716,4.9,0.19,FALSE
57726,27.3,394.804176,-0.04,0.52,0.04,11.5524133,4.5,0.2,FALSE
61768,34.2,224.1984932,-0.01,0.52,0.02,25.68422783,4,0.19,FALSE
51786,19.3,78.82406917,-0.07,0.51,0.04,67.41876039,4.4,0.16,FALSE
90249,34,825.3511736,0.02,0.50,0.18,17.37259733,3.8,0.19,FALSE
59510,22.6,550.4341965,-0.04,0.51,0.14,21.23352632,5.7,0.19,FALSE
56838,28.2,577.0491155,0.06,0.51,0.08,21.09153992,3.1,0.21,FALSE
63869,22.2,100.0212981,0.02,0.50,0.09,70.19842756,2.4,0.17,FALSE
55782,19.2,445.4973336,0.04,0.51,0.17,19.38538633,3.1,0.19,FALSE
64614,29.5,530.78717,0.05,0.52,0.04,50.94113752,3.2,0.2,FALSE
107710,57.8,857.3149668,0.19,0.51,0.04,38.4602868,2.5,0.2,FALSE
85827,36.3,418.5460703,0.15,0.50,0.04,23.48644539,2.7,0.2,FALSE
74427,31.8,493.6132099,0.12,0.51,0.04,25.28972542,2.7,0.21,FALSE
57280,22.1,973.0079104,-0.02,0.52,0.20,24.71714319,4.9,0.19,FALSE
56427,17.9,183.6673636,-0.01,0.49,0.07,36.40069889,4.3,0.2,FALSE
50707,30.4,2433.981499,0.06,0.52,0.11,29.02811788,3.3,0.24,FALSE
53113,45.6,376.2423671,0.07,0.50,0.04,53.89709697,3.3,0.2,FALSE
74064,28.2,407.4800372,0.04,0.51,0.10,23.47569385,3.7,0.19,FALSE
53881,29.2,593.7009938,0.02,0.51,0.09,22.07294372,3.6,0.2,FALSE
51228,37.7,391.615947,0.12,0.49,0.09,20.43610651,2.9,0.2,FALSE
60010,28.6,231.9462537,0.00,0.51,0.05,30.48129972,3.2,0.19,FALSE
54589,22.7,74.69475448,-0.04,0.51,0.05,70.67137809,2.7,0.17,FALSE
62481,30.5,159.9707384,0.04,0.51,0.03,41.10532211,2.6,0.19,FALSE
67295,53,246.1403166,0.13,0.50,0.06,33.08191081,2,0.22,FALSE
64783,33,316.239817,0.07,0.51,0.03,35.28799414,2.9,0.2,FALSE
67331,36.1,854.2441116,0.12,0.51,0.09,26.52189791,2.8,0.23,FALSE
65724,31.9,377.5314404,0.04,0.51,0.07,34.69351174,3.3,0.2,FALSE
64151,51.1,169.5425074,0.08,0.48,0.04,41.18743371,1.9,0.19,FALSE
62559,50.4,268.187711,0.09,0.50,0.07,32.71742776,2.9,0.21,FALSE
91913,55.3,1272.566147,0.10,0.51,0.08,6.640095219,2.8,0.21,FALSE
51996,46,121.7375047,0.04,0.47,0.08,40.4138377,2.8,0.23,FALSE
60014,30.9,517.3291148,0.03,0.51,0.15,19.37826766,3.5,0.21,FALSE
59451,30.8,325.128305,-0.01,0.52,0.13,22.61484099,3.3,0.19,FALSE
66520,33.5,618.5000132,0.03,0.51,0.02,53.4279364,3.5,0.21,FALSE
58981,42.9,1139.267193,0.08,0.51,0.07,34.03970887,3.3,0.22,FALSE
59025,32.7,2015.575055,0.03,0.52,0.06,26.08388316,4,0.21,FALSE
56303,34.7,966.3683039,0.00,0.52,0.04,6.817267685,4.4,0.21,FALSE
60053,32.1,909.4596606,0.09,0.51,0.05,12.27546135,4.3,0.23,FALSE
45092,36.8,2302.780614,0.12,0.53,0.06,33.32103018,4.9,0.25,FALSE
71526,33.5,307.9873361,0.10,0.51,0.06,11.51989678,4.2,0.18,FALSE
58958,22.2,231.3972051,0.01,0.51,0.02,46.17785864,3,0.19,FALSE
