BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1M_people
FALSE,73788,73788,20.37649407,0.0611,0.489,0.293,2.7,0.2115,49.94921829
FALSE,50524,50524,1.878767859,0.0398,0.449,0.125,3,0.169,2747.252747
FALSE,60408,60408,5.391003674,0.1224,0.459,0.096,2.1,0.2179,171.8016264
FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068
FALSE,89696,89696,762.725593,0.0829,0.501,0.156,2.5,0.2272,51.46848156
FALSE,72675,72675,338.7260961,0.1362,0.495,0.177,3.3,0.2318,36.09091023
FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068
FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068
FALSE,72675,72675,338.7260961,0.1362,0.495,0.177,3.3,0.2318,36.09091023
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334
FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068
FALSE,78160,78160,81.38265135,0.2209,0.494,0.3,2.5,0.2294,40.06262096
FALSE,89696,89696,762.725593,0.0829,0.501,0.156,2.5,0.2272,51.46848156
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334
FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,2.7,0.3279,99.00840334
FALSE,88341,88341,449.1270004,0.097,0.496,0.14,2.4,0.205,122.6256606
FALSE,70599,70599,45.57539202,0.0803,0.493,0.071,3.1,0.1488,157.5547503
FALSE,51075,51075,70.58535588,0.0556,0.507,0.432,4.1,0.1954,23.74958438
FALSE,96966,96966,1509.596889,0.0281,0.513,0.205,3.6,0.1769,16.96115472
FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,3.9,0.1963,22.22853981
FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,3.9,0.1963,22.22853981
FALSE,75336,75336,1213.064398,-0.0026,0.514,0.188,3.9,0.1993,21.30713677
FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,3.9,0.1963,22.22853981
FALSE,96966,96966,1509.596889,0.0281,0.513,0.205,3.6,0.1769,16.96115472
FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,3.9,0.1963,22.22853981
FALSE,76076,76076,1310.746776,0.0363,0.516,0.104,3.7,0.2105,16.10729607
FALSE,58804,58804,308.414324,0.1022,0.518,0.074,4.2,0.198,22.12560707
FALSE,90395,90395,11560.5589,0.1474,0.526,0.113,5.5,0.3236,24.08788394
FALSE,62831,62831,237.0550878,0.1684,0.519,0.109,3.8,0.137,8.689531721
FALSE,61133,61133,1442.803177,0.1649,0.511,0.297,3.1,0.2254,11.54916411
FALSE,66258,66258,780.2967611,0.1252,0.524,0.096,3.1,0.1259,13.83310816
FALSE,61133,61133,1442.803177,0.1649,0.511,0.297,3.1,0.2254,11.54916411
FALSE,56708,56708,3560.991822,0.06,0.52,0.102,3,0.1787,37.94887364
FALSE,57582,57582,592.6585958,0.0973,0.511,0.109,3.2,0.1691,19.93547551
FALSE,56708,56708,3560.991822,0.06,0.52,0.102,3,0.1787,37.94887364
FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,2.2,0.3256,41.97157503
FALSE,57582,57582,592.6585958,0.0973,0.511,0.109,3.2,0.1691,19.93547551
FALSE,56708,56708,3560.991822,0.06,0.52,0.102,3,0.1787,37.94887364
FALSE,57660,57660,391.2248863,0.1909,0.516,0.167,3.2,0.1661,10.89567932
FALSE,61429,61429,1614.152928,0.1048,0.513,0.311,3,0.2028,7.169273722
FALSE,69954,69954,1525.853677,0.1041,0.516,0.225,2.9,0.219,14.83597767
FALSE,54991,54991,1431.689462,0.0812,0.514,0.694,2.4,0.209,6.625100297
FALSE,64151,64151,542.7866114,0.1994,0.517,0.169,3.1,0.1573,14.87899656
FALSE,61429,61429,1614.152928,0.1048,0.513,0.311,3,0.2028,7.169273722
