,0,1,2,3,4,5,6,7,8,9
107,123697,417.9170911,0.1871,0.5,0.091,2.4,0.1869,31.32528748,0.579,0
108,89268,32.72544864,0.0531,0.472,0.297,2.2,0.2372,54.41979429,0.481,1
109,72675,338.7260961,0.1362,0.495,0.177,3.3,0.2318,36.09091023,0.379,1
110,52239,31.2047476,0.0212,0.425,0.135,4.6,0.2149,41.80689396,0.182,0
111,73788,20.37649407,0.0611,0.489,0.293,2.7,0.2115,49.94921829,0.3,0
112,74806,41.64887655,0.1285,0.474,0.071,2.3,0.1688,160.1794009,0.387,0
113,71029,8.521770214,0.0566,0.465,0.096,2.1,0.208,190.6698869,0.378,0
114,60408,5.391003674,0.1224,0.459,0.096,2.1,0.2179,171.8016264,0.553,0
115,61391,0.733944297,-0.028,0.485,0.057,3.7,0.128,1219.512195,0.439,0
116,89696,762.725593,0.0829,0.501,0.156,2.5,0.2272,51.46848156,0.441,1
117,56850,21.56211944,0.1005,0.461,0.354,2.3,0.2457,123.0466347,0.34,0
118,77829,33.22600968,0.0869,0.496,0.128,2.5,0.206,106.7216876,0.439,1
119,75332,137.4802485,0.1605,0.502,0.119,2.4,0.2149,89.66122068,0.463,1
120,43452,3.03938758,-0.069,0.478,0.404,3.9,0.172,68.93699159,0.197,0
121,60249,46.32358198,0.0486,0.505,0.148,3.4,0.197,38.90798262,0.274,1
122,52641,12.90103556,0.0247,0.507,0.126,4.2,0.1695,190.9636023,0.286,0
123,50707,19.08247218,0.0347,0.508,0.209,3.1,0.1634,93.54974508,0.239,0
124,43723,14.48380734,-0.0303,0.51,0.422,4.1,0.1762,54.71058103,0.177,0
125,72836,9.143397348,0.1042,0.493,0.065,2.9,0.1383,807.7544426,0.486,0
126,77221,8.589937489,0.14,0.473,0.064,2.5,0.1587,53.06447334,0.302,0
127,92820,18.30334286,0.0348,0.482,0.105,3.1,0.2171,56.28412225,0.631,0
128,51075,70.58535588,0.0556,0.507,0.432,4.1,0.1954,23.74958438,0.22,0
