Index,BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_count,unemployment_rate,perc_age_25_39
108,FALSE,60408,60408,5.391003674,0.1224,0.459,0.096,3,2.1,0.2179
109,FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,32,2.4,0.2149
110,FALSE,89696,89696,762.725593,0.0829,0.501,0.156,30,2.5,0.2272
111,FALSE,72675,72675,338.7260961,0.1362,0.495,0.177,26,3.3,0.2318
112,FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,32,2.4,0.2149
113,FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,32,2.4,0.2149
114,FALSE,72675,72675,338.7260961,0.1362,0.495,0.177,26,3.3,0.2318
115,FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,72,2.7,0.3279
116,FALSE,75332,75332,137.4802485,0.1605,0.502,0.119,32,2.4,0.2149
117,FALSE,78160,78160,81.38265135,0.2209,0.494,0.3,13,2.5,0.2294
118,FALSE,89696,89696,762.725593,0.0829,0.501,0.156,30,2.5,0.2272
119,FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,72,2.7,0.3279
120,FALSE,75456,75456,4753.013072,0.1747,0.499,0.293,72,2.7,0.3279
121,FALSE,88341,88341,449.1270004,0.097,0.496,0.14,40,2.4,0.205
122,FALSE,70599,70599,45.57539202,0.0803,0.493,0.071,4,3.1,0.1488
123,FALSE,51075,51075,70.58535588,0.0556,0.507,0.432,4,4.1,0.1954
124,FALSE,96966,96966,1509.596889,0.0281,0.513,0.205,16,3.6,0.1769
125,FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,19,3.9,0.1963
126,FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,19,3.9,0.1963
127,FALSE,75336,75336,1213.064398,-0.0026,0.514,0.188,19,3.9,0.1993
128,FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,19,3.9,0.1963
129,FALSE,96966,96966,1509.596889,0.0281,0.513,0.205,16,3.6,0.1769
130,FALSE,69687,69687,1413.97604,-0.009,0.518,0.191,19,3.9,0.1963
131,FALSE,76076,76076,1310.746776,0.0363,0.516,0.104,9,3.7,0.2105
132,FALSE,58804,58804,308.414324,0.1022,0.518,0.074,4,4.2,0.198
133,FALSE,90395,90395,11560.5589,0.1474,0.526,0.113,17,5.5,0.3236
134,FALSE,62831,62831,237.0550878,0.1684,0.519,0.109,1,3.8,0.137
135,FALSE,61133,61133,1442.803177,0.1649,0.511,0.297,17,3.1,0.2254
136,FALSE,66258,66258,780.2967611,0.1252,0.524,0.096,6,3.1,0.1259
137,FALSE,61133,61133,1442.803177,0.1649,0.511,0.297,17,3.1,0.2254
138,FALSE,56708,56708,3560.991822,0.06,0.52,0.102,37,3,0.1787
139,FALSE,57582,57582,592.6585958,0.0973,0.511,0.109,12,3.2,0.1691
140,FALSE,56708,56708,3560.991822,0.06,0.52,0.102,37,3,0.1787
141,FALSE,121795,121795,18807.18111,0.0866,0.49,0.152,37,2.2,0.3256
142,FALSE,57582,57582,592.6585958,0.0973,0.511,0.109,12,3.2,0.1691
143,FALSE,56708,56708,3560.991822,0.06,0.52,0.102,37,3,0.1787
144,FALSE,57660,57660,391.2248863,0.1909,0.516,0.167,4,3.2,0.1661
145,FALSE,61429,61429,1614.152928,0.1048,0.513,0.311,14,3,0.2028
146,FALSE,69954,69954,1525.853677,0.1041,0.516,0.225,7,2.9,0.219
147,FALSE,54991,54991,1431.689462,0.0812,0.514,0.694,18,2.4,0.209
148,FALSE,64151,64151,542.7866114,0.1994,0.517,0.169,6,3.1,0.1573
149,FALSE,61429,61429,1614.152928,0.1048,0.513,0.311,14,3,0.2028
150,FALSE,55081,55081,440.2506103,0.0616,0.527,0.067,5,3.1,0.2042
151,FALSE,63133,63133,1542.403443,0.1776,0.509,0.327,19,2.9,0.2428
152,FALSE,58339,58339,1256.579707,0.0976,0.515,0.105,20,3.3,0.2355
153,FALSE,61133,61133,1442.803177,0.1649,0.511,0.297,17,3.1,0.2254
154,FALSE,63133,63133,1542.403443,0.1776,0.509,0.327,19,2.9,0.2428
155,FALSE,58376,58376,230.3420488,0.0335,0.504,0.067,3,3.9,0.1985
156,FALSE,79232,79232,336.8375929,0.1427,0.513,0.073,1,2.9,0.1901
157,FALSE,47296,47296,168.8986154,0.0412,0.522,0.037,2,3.2,0.1996
158,FALSE,53115,53115,360.2098711,0.0194,0.502,0.363,1,4.4,0.1973
159,FALSE,79235,79235,2020.255015,0.1347,0.516,0.072,25,3.5,0.2469
160,FALSE,79235,79235,2020.255015,0.1347,0.516,0.072,25,3.5,0.2469
161,FALSE,59193,59193,240.4283115,0.0789,0.513,0.072,1,3.4,0.1982
162,FALSE,41036,41036,1076.602349,0.0905,0.526,0.11,4,3.6,0.2265
163,FALSE,79235,79235,2020.255015,0.1347,0.516,0.072,25,3.5,0.2469
164,FALSE,86946,86946,1622.262765,0.0219,0.498,0.1,12,2.6,0.2201
165,FALSE,86946,86946,1622.262765,0.0219,0.498,0.1,12,2.6,0.2201
166,FALSE,72295,72295,457.5318077,0.1853,0.499,0.085,18,2.5,0.2173
167,FALSE,50709,50709,9.652677051,0.104,0.498,0.051,1,4.4,0.1462
168,FALSE,56729,56729,26.36902569,0.1063,0.501,0.034,2,4.2,0.151
169,FALSE,72295,72295,457.5318077,0.1853,0.499,0.085,18,2.5,0.2173
170,FALSE,56141,56141,45.22038941,0.1111,0.507,0.171,2,2.8,0.2086
171,FALSE,96354,96354,2818.087994,0.0065,0.508,0.146,21,2.9,0.1935
172,FALSE,57772,57772,331.7751546,-0.0399,0.507,0.132,5,4.9,0.1862
173,FALSE,69375,69375,5448.102559,-0.0086,0.514,0.256,85,3.8,0.2354
174,FALSE,53485,53485,210.4749133,0.0411,0.503,0.063,5,3.8,0.2013
