fips_txt,Stabr,area_name,countbrewpub,countcontract,countmicro,countregional,counttotal,countlargest,countbest,median_HHI_2019,bach_deg_pct_14to18,Latitude,Longitude,population2019,countyshort
4017,AZ,"Navajo County, AZ",1,0,1,0,2,0,0,40676,15.8,35.39093,-110.320908,110924,Navajo
4019,AZ,"Pima County, AZ",2,0,16,0,19,0,0,56150,31.9,32.12824,-111.783018,1047279,Pima
4021,AZ,"Pinal County, AZ",0,0,0,0,0,0,0,62067,19,32.91891,-111.367257,462789,Pinal
4023,AZ,"Santa Cruz County, AZ",0,0,0,0,0,0,0,47779,21,31.5259,-110.84519,46498,Santa Cruz
4025,AZ,"Yavapai County, AZ",3,0,2,0,7,0,0,54242,25.2,34.63004,-112.573745,235099,Yavapai
4027,AZ,"Yuma County, AZ",1,0,0,0,2,0,0,47024,14.8,32.77394,-113.910905,213787,Yuma
5001,AR,"Arkansas County, AR",0,0,0,0,0,0,0,52539,15.5,34.28957,-91.376547,17486,Arkansas
5003,AR,"Ashley County, AR",0,0,0,0,0,0,0,47744,13.2,33.19084,-91.772267,19657,Ashley
5005,AR,"Baxter County, AR",0,0,3,0,3,0,0,41950,18.3,36.28071,-92.330438,41932,Baxter
5007,AR,"Benton County, AR",1,0,6,0,9,0,0,70775,32.4,36.33783,-94.256187,279141,Benton
5009,AR,"Boone County, AR",1,0,0,0,1,0,0,50083,16,36.30431,-93.079204,37432,Boone
5011,AR,"Bradley County, AR",0,0,0,0,0,0,0,39982,15.2,33.46382,-92.168164,10763,Bradley
5013,AR,"Calhoun County, AR",0,0,0,0,0,0,0,48415,12.1,33.56046,-92.513879,5189,Calhoun
5015,AR,"Carroll County, AR",0,0,0,0,1,0,0,43841,20.4,36.33777,-93.541663,28380,Carroll
5017,AR,"Chicot County, AR",0,0,0,0,0,0,0,37014,14.7,33.26714,-91.297158,10118,Chicot
5019,AR,"Clark County, AR",0,0,1,0,1,0,0,44105,27.6,34.05331,-93.176205,22320,Clark
5021,AR,"Clay County, AR",0,0,0,0,0,0,0,40686,11.6,36.3673,-90.418704,14551,Clay
5023,AR,"Cleburne County, AR",0,0,0,0,0,0,0,46214,14.9,35.56629,-92.059974,24919,Cleburne
5025,AR,"Cleveland County, AR",0,0,0,0,0,0,0,53773,16.2,33.8932,-92.188714,7956,Cleveland
5027,AR,"Columbia County, AR",0,0,0,0,0,0,0,42964,20.6,33.21507,-93.226901,23457,Columbia
5029,AR,"Conway County, AR",0,0,0,0,0,0,0,46924,16,35.2657,-92.689248,20846,Conway
5031,AR,"Craighead County, AR",0,0,0,0,0,0,0,47766,26.3,35.82827,-90.630411,110332,Craighead
5033,AR,"Crawford County, AR",0,0,0,0,0,0,0,44600,15.3,35.58304,-94.236224,63257,Crawford
5035,AR,"Crittenden County, AR",0,0,0,0,0,0,0,41976,18,35.21188,-90.315331,47955,Crittenden
5037,AR,"Cross County, AR",0,0,0,0,0,0,0,45273,15.4,35.29126,-90.773894,16419,Cross
5039,AR,"Dallas County, AR",0,0,0,0,0,0,0,41314,13.7,33.96782,-92.653999,7009,Dallas
5041,AR,"Desha County, AR",0,0,0,0,0,0,0,37005,12.4,33.82875,-91.244427,11361,Desha
5043,AR,"Drew County, AR",0,0,0,0,0,0,0,44162,20.6,33.58724,-91.722778,18219,Drew
5045,AR,"Faulkner County, AR",0,0,0,0,0,0,0,58482,30,35.14636,-92.324654,126007,Faulkner
5047,AR,"Franklin County, AR",0,0,0,0,0,0,0,45670,11.8,35.50857,-93.887672,17715,Franklin
